x	y	precise_y	difference
+0.0000e+00	+1.0000e+00	+1.0000e+00	+0.0000e+00
+1.0000e-04	+9.9990e-01	+9.9990e-01	-4.9992e-09
+2.0000e-04	+9.9980e-01	+9.9980e-01	-9.9973e-09
+3.0000e-04	+9.9970e-01	+9.9970e-01	-1.4995e-08
+4.0000e-04	+9.9960e-01	+9.9960e-01	-1.9991e-08
+5.0000e-04	+9.9950e-01	+9.9950e-01	-2.4986e-08
+6.0000e-04	+9.9940e-01	+9.9940e-01	-2.9980e-08
+7.0000e-04	+9.9930e-01	+9.9930e-01	-3.4973e-08
+8.0000e-04	+9.9920e-01	+9.9920e-01	-3.9965e-08
+9.0000e-04	+9.9910e-01	+9.9910e-01	-4.4957e-08
+1.0000e-03	+9.9900e-01	+9.9900e-01	-4.9947e-08
+1.1000e-03	+9.9890e-01	+9.9890e-01	-5.4936e-08
+1.2000e-03	+9.9880e-01	+9.9880e-01	-5.9924e-08
+1.3000e-03	+9.9870e-01	+9.9870e-01	-6.4911e-08
+1.4000e-03	+9.9860e-01	+9.9860e-01	-6.9897e-08
+1.5000e-03	+9.9850e-01	+9.9850e-01	-7.4883e-08
+1.6000e-03	+9.9840e-01	+9.9840e-01	-7.9867e-08
+1.7000e-03	+9.9830e-01	+9.9830e-01	-8.4850e-08
+1.8000e-03	+9.9820e-01	+9.9820e-01	-8.9832e-08
+1.9000e-03	+9.9810e-01	+9.9810e-01	-9.4813e-08
+2.0000e-03	+9.9800e-01	+9.9800e-01	-9.9794e-08
+2.1000e-03	+9.9790e-01	+9.9790e-01	-1.0477e-07
+2.2000e-03	+9.9780e-01	+9.9780e-01	-1.0975e-07
+2.3000e-03	+9.9770e-01	+9.9770e-01	-1.1473e-07
+2.4000e-03	+9.9760e-01	+9.9760e-01	-1.1970e-07
+2.5000e-03	+9.9750e-01	+9.9750e-01	-1.2468e-07
+2.6000e-03	+9.9740e-01	+9.9740e-01	-1.2965e-07
+2.7000e-03	+9.9730e-01	+9.9730e-01	-1.3463e-07
+2.8000e-03	+9.9720e-01	+9.9720e-01	-1.3960e-07
+2.9000e-03	+9.9710e-01	+9.9710e-01	-1.4457e-07
+3.0000e-03	+9.9700e-01	+9.9700e-01	-1.4954e-07
+3.1000e-03	+9.9690e-01	+9.9690e-01	-1.5451e-07
+3.2000e-03	+9.9681e-01	+9.9681e-01	-1.5948e-07
+3.3000e-03	+9.9671e-01	+9.9671e-01	-1.6445e-07
+3.4000e-03	+9.9661e-01	+9.9661e-01	-1.6941e-07
+3.5000e-03	+9.9651e-01	+9.9651e-01	-1.7438e-07
+3.6000e-03	+9.9641e-01	+9.9641e-01	-1.7934e-07
+3.7000e-03	+9.9631e-01	+9.9631e-01	-1.8430e-07
+3.8000e-03	+9.9621e-01	+9.9621e-01	-1.8927e-07
+3.9000e-03	+9.9611e-01	+9.9611e-01	-1.9423e-07
+4.0000e-03	+9.9601e-01	+9.9601e-01	-1.9919e-07
+4.1000e-03	+9.9591e-01	+9.9591e-01	-2.0415e-07
+4.2000e-03	+9.9581e-01	+9.9581e-01	-2.0911e-07
+4.3000e-03	+9.9571e-01	+9.9571e-01	-2.1406e-07
+4.4000e-03	+9.9561e-01	+9.9561e-01	-2.1902e-07
+4.5000e-03	+9.9551e-01	+9.9551e-01	-2.2397e-07
+4.6000e-03	+9.9541e-01	+9.9541e-01	-2.2893e-07
+4.7000e-03	+9.9531e-01	+9.9531e-01	-2.3388e-07
+4.8000e-03	+9.9521e-01	+9.9521e-01	-2.3883e-07
+4.9000e-03	+9.9511e-01	+9.9511e-01	-2.4379e-07
+5.0000e-03	+9.9501e-01	+9.9501e-01	-2.4874e-07
+5.1000e-03	+9.9491e-01	+9.9491e-01	-2.5369e-07
+5.2000e-03	+9.9481e-01	+9.9481e-01	-2.5863e-07
+5.3000e-03	+9.9471e-01	+9.9471e-01	-2.6358e-07
+5.4000e-03	+9.9461e-01	+9.9461e-01	-2.6853e-07
+5.5000e-03	+9.9452e-01	+9.9452e-01	-2.7347e-07
+5.6000e-03	+9.9442e-01	+9.9442e-01	-2.7842e-07
+5.7000e-03	+9.9432e-01	+9.9432e-01	-2.8336e-07
+5.8000e-03	+9.9422e-01	+9.9422e-01	-2.8830e-07
+5.9000e-03	+9.9412e-01	+9.9412e-01	-2.9325e-07
+6.0000e-03	+9.9402e-01	+9.9402e-01	-2.9819e-07
+6.1000e-03	+9.9392e-01	+9.9392e-01	-3.0312e-07
+6.2000e-03	+9.9382e-01	+9.9382e-01	-3.0806e-07
+6.3000e-03	+9.9372e-01	+9.9372e-01	-3.1300e-07
+6.4000e-03	+9.9362e-01	+9.9362e-01	-3.1794e-07
+6.5000e-03	+9.9352e-01	+9.9352e-01	-3.2287e-07
+6.6000e-03	+9.9342e-01	+9.9342e-01	-3.2781e-07
+6.7000e-03	+9.9332e-01	+9.9332e-01	-3.3274e-07
+6.8000e-03	+9.9322e-01	+9.9322e-01	-3.3767e-07
+6.9000e-03	+9.9312e-01	+9.9312e-01	-3.4260e-07
+7.0000e-03	+9.9302e-01	+9.9302e-01	-3.4754e-07
+7.1000e-03	+9.9293e-01	+9.9293e-01	-3.5246e-07
+7.2000e-03	+9.9283e-01	+9.9283e-01	-3.5739e-07
+7.3000e-03	+9.9273e-01	+9.9273e-01	-3.6232e-07
+7.4000e-03	+9.9263e-01	+9.9263e-01	-3.6725e-07
+7.5000e-03	+9.9253e-01	+9.9253e-01	-3.7217e-07
+7.6000e-03	+9.9243e-01	+9.9243e-01	-3.7710e-07
+7.7000e-03	+9.9233e-01	+9.9233e-01	-3.8202e-07
+7.8000e-03	+9.9223e-01	+9.9223e-01	-3.8694e-07
+7.9000e-03	+9.9213e-01	+9.9213e-01	-3.9187e-07
+8.0000e-03	+9.9203e-01	+9.9203e-01	-3.9679e-07
+8.1000e-03	+9.9193e-01	+9.9193e-01	-4.0171e-07
+8.2000e-03	+9.9183e-01	+9.9183e-01	-4.0662e-07
+8.3000e-03	+9.9173e-01	+9.9173e-01	-4.1154e-07
+8.4000e-03	+9.9164e-01	+9.9164e-01	-4.1646e-07
+8.5000e-03	+9.9154e-01	+9.9154e-01	-4.2137e-07
+8.6000e-03	+9.9144e-01	+9.9144e-01	-4.2629e-07
+8.7000e-03	+9.9134e-01	+9.9134e-01	-4.3120e-07
+8.8000e-03	+9.9124e-01	+9.9124e-01	-4.3612e-07
+8.9000e-03	+9.9114e-01	+9.9114e-01	-4.4103e-07
+9.0000e-03	+9.9104e-01	+9.9104e-01	-4.4594e-07
+9.1000e-03	+9.9094e-01	+9.9094e-01	-4.5085e-07
+9.2000e-03	+9.9084e-01	+9.9084e-01	-4.5576e-07
+9.3000e-03	+9.9074e-01	+9.9074e-01	-4.6066e-07
+9.4000e-03	+9.9064e-01	+9.9064e-01	-4.6557e-07
+9.5000e-03	+9.9055e-01	+9.9054e-01	-4.7048e-07
+9.6000e-03	+9.9045e-01	+9.9045e-01	-4.7538e-07
+9.7000e-03	+9.9035e-01	+9.9035e-01	-4.8029e-07
+9.8000e-03	+9.9025e-01	+9.9025e-01	-4.8519e-07
+9.9000e-03	+9.9015e-01	+9.9015e-01	-4.9009e-07
+1.0000e-02	+9.9005e-01	+9.9005e-01	-4.9499e-07
+1.0100e-02	+9.8995e-01	+9.8995e-01	-4.9989e-07
+1.0200e-02	+9.8985e-01	+9.8985e-01	-5.0479e-07
+1.0300e-02	+9.8975e-01	+9.8975e-01	-5.0969e-07
+1.0400e-02	+9.8965e-01	+9.8965e-01	-5.1459e-07
+1.0500e-02	+9.8956e-01	+9.8955e-01	-5.1948e-07
+1.0600e-02	+9.8946e-01	+9.8946e-01	-5.2438e-07
+1.0700e-02	+9.8936e-01	+9.8936e-01	-5.2927e-07
+1.0800e-02	+9.8926e-01	+9.8926e-01	-5.3416e-07
+1.0900e-02	+9.8916e-01	+9.8916e-01	-5.3906e-07
+1.1000e-02	+9.8906e-01	+9.8906e-01	-5.4395e-07
+1.1100e-02	+9.8896e-01	+9.8896e-01	-5.4884e-07
+1.1200e-02	+9.8886e-01	+9.8886e-01	-5.5373e-07
+1.1300e-02	+9.8876e-01	+9.8876e-01	-5.5861e-07
+1.1400e-02	+9.8867e-01	+9.8866e-01	-5.6350e-07
+1.1500e-02	+9.8857e-01	+9.8857e-01	-5.6839e-07
+1.1600e-02	+9.8847e-01	+9.8847e-01	-5.7327e-07
+1.1700e-02	+9.8837e-01	+9.8837e-01	-5.7816e-07
